Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.AttributeBuilder\Piranha.AttributeBuilder.csproj,File,core\Piranha.AttributeBuilder\Piranha.AttributeBuilder.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha.Azure.BlobStorage\Piranha.Azure.BlobStorage.csproj,File,core\Piranha.Azure.BlobStorage\Piranha.Azure.BlobStorage.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha.Azure.BlobStorage\Piranha.Azure.BlobStorage.csproj,File,core\Piranha.Azure.BlobStorage\BlobStorage.cs,138,8,T:System.Uri,,,,,return blob.Uri.AbsoluteUri;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha.Azure.BlobStorage\Piranha.Azure.BlobStorage.csproj,File,core\Piranha.Azure.BlobStorage\BlobStorage.cs,138,8,P:System.Uri.AbsoluteUri,,,,,return blob.Uri.AbsoluteUri;
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha.Azure.BlobStorage\Piranha.Azure.BlobStorage.csproj,File,core\Piranha.Azure.BlobStorage\BlobStorage.cs,79,8,T:System.Uri,,,,,"return media == null || string.IsNullOrWhiteSpace(id) ? null :              $""{ _blobContainerClient.Uri.AbsoluteUri }/{ GetResourceName(media, id, true) }"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha.Azure.BlobStorage\Piranha.Azure.BlobStorage.csproj,File,core\Piranha.Azure.BlobStorage\BlobStorage.cs,79,8,P:System.Uri.AbsoluteUri,,,,,"return media == null || string.IsNullOrWhiteSpace(id) ? null :              $""{ _blobContainerClient.Uri.AbsoluteUri }/{ GetResourceName(media, id, true) }"";"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha.Azure.BlobStorage\Piranha.Azure.BlobStorage.csproj,File,core\Piranha.Azure.BlobStorage\BlobStorage.cs,39,4,T:System.Uri,,,,,"public BlobStorage(          Uri blobContainerUri,          TokenCredential tokenCredential,          BlobStorageNaming naming = BlobStorageNaming.UniqueFileNames)      {          _blobContainerClient = new BlobContainerClient(blobContainerUri, tokenCredential);          _naming = naming;            // Ensure that blob container exists          _blobContainerClient.CreateIfNotExists(PublicAccessType.Blob);      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha.Azure.BlobStorage\Piranha.Azure.BlobStorage.csproj,File,core\Piranha.Azure.BlobStorage\BlobStorage.cs,39,4,T:System.Uri,,,,,"public BlobStorage(          Uri blobContainerUri,          TokenCredential tokenCredential,          BlobStorageNaming naming = BlobStorageNaming.UniqueFileNames)      {          _blobContainerClient = new BlobContainerClient(blobContainerUri, tokenCredential);          _naming = naming;            // Ensure that blob container exists          _blobContainerClient.CreateIfNotExists(PublicAccessType.Blob);      }"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha.Azure.BlobStorage\Piranha.Azure.BlobStorage.csproj,File,core\Piranha.Azure.BlobStorage\Extensions\BlobStorageExtensions.cs,74,4,T:System.Uri,,,,,"public static IServiceCollection AddPiranhaBlobStorage(          this IServiceCollection services,          Uri blobContainerUri,          TokenCredential credential,          BlobStorageNaming naming = BlobStorageNaming.UniqueFileNames,          ServiceLifetime scope = ServiceLifetime.Singleton)"
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha.Azure.BlobStorage\Piranha.Azure.BlobStorage.csproj,File,core\Piranha.Azure.BlobStorage\Extensions\BlobStorageExtensions.cs,29,4,T:System.Uri,,,,,"public static PiranhaServiceBuilder UseBlobStorage(          this PiranhaServiceBuilder serviceBuilder,          Uri blobContainerUri,          TokenCredential credential,          BlobStorageNaming naming = BlobStorageNaming.UniqueFileNames,          ServiceLifetime scope = ServiceLifetime.Singleton)"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,core\Piranha\Piranha.csproj,File,core\Piranha\Piranha.csproj,,,Newtonsoft.Json 13.0.3,,,,,"Newtonsoft.Json, 13.0.3  Recommendation:  Remove Newtonsoft.Json, and replace with new package Newtonsoft.Json 13.0.4"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,core\Piranha\Piranha.csproj,File,core\Piranha\Piranha.csproj,,,Microsoft.Extensions.Caching.Abstractions 8.0.0,,,,,"Microsoft.Extensions.Caching.Abstractions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Caching.Abstractions, and replace with new package Microsoft.Extensions.Caching.Abstractions 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,core\Piranha\Piranha.csproj,File,core\Piranha\Piranha.csproj,,,Microsoft.Extensions.Configuration.Abstractions 8.0.0,,,,,"Microsoft.Extensions.Configuration.Abstractions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.Configuration.Abstractions, and replace with new package Microsoft.Extensions.Configuration.Abstractions 10.0.8"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,core\Piranha\Piranha.csproj,File,core\Piranha\Piranha.csproj,,,Microsoft.Extensions.DependencyInjection.Abstractions 8.0.0,,,,,"Microsoft.Extensions.DependencyInjection.Abstractions, 8.0.0  Recommendation:  Remove Microsoft.Extensions.DependencyInjection.Abstractions, and replace with new package Microsoft.Extensions.DependencyInjection.Abstractions 10.0.8"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,core\Piranha\Piranha.csproj,File,core\Piranha\Piranha.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Api.0003,Behavioral change in selected .NET version,Active,Potential,1,core\Piranha\Piranha.csproj,File,core\Piranha\Extend\Fields\SelectField.cs,86,8,M:System.ValueType.GetHashCode,,,,,return Value.GetHashCode();
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,data\Piranha.Data.EF\Piranha.Data.EF.csproj,File,data\Piranha.Data.EF\Piranha.Data.EF.csproj,,,Microsoft.EntityFrameworkCore.Design 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Design, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.8"
NuGet.0004,NuGet package contains security vulnerability,Active,Optional,1,data\Piranha.Data.EF\Piranha.Data.EF.csproj,File,data\Piranha.Data.EF\Piranha.Data.EF.csproj,,,AutoMapper 12.0.1,,,,,"AutoMapper, 12.0.1  Recommendation:  AutoMapper, 16.1.1"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,data\Piranha.Data.EF\Piranha.Data.EF.csproj,File,data\Piranha.Data.EF\Piranha.Data.EF.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,data\Piranha.Data.EF.MySql\Piranha.Data.EF.MySql.csproj,File,data\Piranha.Data.EF.MySql\Piranha.Data.EF.MySql.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,data\Piranha.Data.EF.PostgreSql\Piranha.Data.EF.PostgreSql.csproj,File,data\Piranha.Data.EF.PostgreSql\Piranha.Data.EF.PostgreSql.csproj,,,,,,,,Current target framework: net8.0;net9.0 Recommended target framework: net8.0;net9.0;net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,data\Piranha.Data.EF.SQLite\Piranha.Data.EF.SQLite.csproj,File,data\Piranha.Data.EF.SQLite\Piranha.Data.EF.SQLite.csproj,,,Microsoft.EntityFrameworkCore.Sqlite 8.0.0,,,,,"Microsoft.EntityFrameworkCore.Sqlite, 8.0.0  Recommendation:  Remove Microsoft.EntityFrameworkCore.Sqlite, and replace with new package Microsoft.EntityFrameworkCore.Sqlite 10.0.8"
